timestamp,Pitch,Roll,Yaw,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,quat_w,quat_x,quat_y,quat_z
10552,3.0780253,90.08137,-169.85173,-0.2961118,9.603594,-0.57009,-0.020158552,-0.022143863,0.031306844,-0.24796018,-0.9619857,-0.11445183,-0.04354261,-0.08146493,0.7029029,0.70526236
10659,3.171536,90.152176,-168.5898,-0.30329025,9.582656,-0.5425725,-0.02321288,-0.022602012,0.029626964,-0.25208578,-0.9597979,-0.12345311,-0.0506751,-0.08980385,0.7023256,0.70434797
10766,3.171536,90.152176,-168.5898,-0.30329025,9.582656,-0.5425725,-0.02321288,-0.022602012,0.029626964,-0.25208578,-0.9597979,-0.12345311,-0.0506751,-0.08980385,0.7023256,0.70434797
10872,3.4166975,90.21739,-167.4129,-0.31046873,9.5455675,-0.5395815,-0.021685716,-0.014202617,0.02855795,-0.24416783,-0.9623723,-0.11925444,-0.05634025,-0.09854045,0.70155793,0.7035141
10979,3.4166975,90.21739,-167.4129,-0.31046873,9.5455675,-0.5395815,-0.021685716,-0.014202617,0.02855795,-0.24416783,-0.9623723,-0.11925444,-0.05634025,-0.09854045,0.70155793,0.7035141
11086,3.4166975,90.21739,-167.4129,-0.31046873,9.5455675,-0.5395815,-0.021685716,-0.014202617,0.02855795,-0.24416783,-0.9623723,-0.11925444,-0.05634025,-0.09854045,0.70155793,0.7035141
11192,3.4166975,90.21739,-167.4129,-0.31046873,9.5455675,-0.5395815,-0.021685716,-0.014202617,0.02855795,-0.24416783,-0.9623723,-0.11925444,-0.05634025,-0.09854045,0.70155793,0.7035141
11299,3.52832,91.157295,-164.86256,-0.31226337,9.577272,-0.5742774,-0.025350908,-0.017562376,0.030390546,-0.24987005,-0.962148,-0.10879426,-0.07035181,-0.115387924,0.7048156,0.6963987
11406,3.466226,91.59332,-163.80481,-0.30568308,9.569495,-0.5216353,-0.024892759,-0.013591751,0.032070424,-0.26167452,-0.96014106,-0.09826295,-0.07669864,-0.121807925,0.70642763,0.69299364
11512,3.466226,91.59332,-163.80481,-0.30568308,9.569495,-0.5216353,-0.024892759,-0.013591751,0.032070424,-0.26167452,-0.96014106,-0.09826295,-0.07669864,-0.121807925,0.70642763,0.69299364
11619,3.5604537,91.5816,-162.70355,-0.3086741,9.568299,-0.5132604,-0.02947425,-0.020463986,0.028405234,-0.2550247,-0.9613615,-0.10366476,-0.0827829,-0.12914646,0.7050495,0.692368
11726,3.5604537,91.5816,-162.70355,-0.3086741,9.568299,-0.5132604,-0.02947425,-0.020463986,0.028405234,-0.2550247,-0.9613615,-0.10366476,-0.0827829,-0.12914646,0.7050495,0.692368
11832,3.566815,91.317566,-162.04529,-0.30149564,9.60479,-0.5306084,-0.024892759,-0.015882496,0.027641652,-0.25518647,-0.95897746,-0.12345885,-0.08702606,-0.13303229,0.70269275,0.6935069
11939,3.4781199,91.78095,-161.73737,-0.2961118,9.597611,-0.52342993,-0.028710665,-0.013133602,0.031306844,-0.2544518,-0.9624223,-0.09485544,-0.08889408,-0.13474947,0.70523274,0.690353
12046,3.6769574,91.4316,-161.17628,-0.43310088,9.57787,-0.5389833,-0.02611449,-0.018936822,0.028863383,-0.23994908,-0.9628648,-0.12375715,-0.09146305,-0.13910727,0.7022217,0.6922199
12152,3.5736098,92.05351,-160.4418,-0.30089745,9.574282,-0.54317075,-0.024129178,-0.01863139,0.02977968,-0.23847419,-0.96581,-0.10169136,-0.095759824,-0.14351033,0.70518535,0.6877125
12259,3.5736098,92.05351,-160.4418,-0.30089745,9.574282,-0.54317075,-0.024129178,-0.01863139,0.02977968,-0.23847419,-0.96581,-0.10169136,-0.095759824,-0.14351033,0.70518535,0.6877125
12366,3.5736098,92.05351,-160.4418,-0.30089745,9.574282,-0.54317075,-0.024129178,-0.01863139,0.02977968,-0.23847419,-0.96581,-0.10169136,-0.095759824,-0.14351033,0.70518535,0.6877125
12472,3.5736098,92.05351,-160.4418,-0.30089745,9.574282,-0.54317075,-0.024129178,-0.01863139,0.02977968,-0.23847419,-0.96581,-0.10169136,-0.095759824,-0.14351033,0.70518535,0.6877125
12579,3.6556609,92.34777,-158.83745,-0.2991028,9.579067,-0.5288138,-0.019242255,-0.018784106,0.027794369,-0.25029585,-0.9622094,-0.10726133,-0.104473986,-0.15412329,0.7047601,0.6845761
12686,3.6432037,92.11617,-158.51833,-0.3080759,9.588638,-0.52223355,-0.022143863,-0.016340645,0.030390546,-0.23820597,-0.9643403,-0.11535012,-0.10677255,-0.15579636,0.70296025,0.68569237
12792,3.6931932,92.1224,-158.35587,-0.31286153,9.562916,-0.5312066,-0.02031127,-0.020005837,0.02977968,-0.27519795,-0.9527031,-0.12892972,-0.107425876,-0.157094,0.7027092,0.6855515
12899,3.6245172,92.03612,-157.79431,-0.2889333,9.57129,-0.5030909,-0.02351831,-0.010537425,0.028863383,-0.25625455,-0.9584492,-0.1253344,-0.111330405,-0.16004664,0.7015086,0.6854753
13006,3.5441391,92.45057,-157.22284,-0.2889333,9.5766735,-0.53300124,-0.021227568,-0.010537425,0.029168814,-0.25065827,-0.9614176,-0.11334278,-0.1146545,-0.16348468,0.7032856,0.6822877
13112,3.531343,92.5215,-156.92816,-0.2853441,9.598209,-0.53240305,-0.026267204,-0.01863139,0.030390546,-0.24504974,-0.963226,-0.11020999,-0.11638581,-0.1652896,0.70330274,0.6815416
13219,3.5544415,92.49146,-156.79762,-0.2991028,9.572487,-0.51625144,-0.01771509,-0.0154243475,0.0290161,-0.24872585,-0.9618286,-0.11411033,-0.11706224,-0.16619554,0.7029029,0.6816179
13326,3.6004553,92.51185,-156.67075,-0.31106693,9.583853,-0.55692947,-0.023823744,-0.0206167,0.030085113,-0.25127563,-0.960628,-0.11855131,-0.11750149,-0.16726464,0.7027747,0.681413
13432,3.6004553,92.51185,-156.67075,-0.31106693,9.583853,-0.55692947,-0.023823744,-0.0206167,0.030085113,-0.25127563,-0.960628,-0.11855131,-0.11750149,-0.16726464,0.7027747,0.681413
13539,3.5423594,92.88611,-155.90515,-0.3188436,9.552148,-0.529412,-0.02107485,-0.01695151,0.028710665,-0.24587937,-0.9615113,-0.12263504,-0.12185051,-0.17201473,0.70394474,0.67825156
13646,3.5423594,92.88611,-155.90515,-0.3188436,9.552148,-0.529412,-0.02107485,-0.01695151,0.028710665,-0.24587937,-0.9615113,-0.12263504,-0.12185051,-0.17201473,0.70394474,0.67825156
13752,3.4908628,93.18472,-155.5717,-0.29312077,9.559326,-0.50069815,-0.025350908,-0.015882496,0.028252516,-0.24187994,-0.9659555,-0.0917827,-0.1236906,-0.17408496,0.7052805,0.6759989
